id,title,description,link,image_link,additional_image_link,availability,availability_date,sale_price_effective_date,price,sale_price,product_type,google_product_category,gtin,brand,mpn,identifier_exists,condition,is_bundle,age_group,color,gender,material,pattern,size,item_group_id,shipping,size_type,size_system,shipping_label,adult,multipack,mobile_link,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,unit_pricing_measure,expiration_date,energy_efficiency_class,promotion_id,adwords_redirect,style[0]
ND1001,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-EN,yes,new,no,,,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-5,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_beige?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2018/12/ND1001-5-1.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-5-EN,yes,new,no,,Beige,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_beige?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-1,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_black?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2019/02/Nordace-Siena-backpack-3.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-1-EN,yes,new,no,,Black,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_black?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-4,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_blue?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2019/02/Nordace-Siena-backpack-11.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-4-EN,yes,new,no,,Blue,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_blue?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-3,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_red?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2019/07/Nordace_Siena_Red_31.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-3-EN,yes,new,no,,Red,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_red?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-6,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_dark-green?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2019/07/Nordace_Siena_Green_24.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-6-EN,yes,new,no,,Dark Green,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_dark-green?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-2,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_gray?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2019/07/Siena-–-Smart-Backpack-3-1.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-2-EN,yes,new,no,,Gray,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_gray?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-27,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_khaki?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2021/12/Siena-–-Smart-Backpack-Khaki-1.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-27-EN,yes,new,no,,Khaki,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_khaki?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-33,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_aqua?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2021/12/Siena-Classic-Aqua-1.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-33-EN,yes,new,no,,Aqua,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_aqua?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
ND1001-8,Nordace Siena - Smart Backpack,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_pink?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},https://nordace.com/wp-content/uploads/2021/12/Siena-Classic-Pink-1.jpg,,in stock,,,165 USD,109.99 USD,Backpacks & Wallets,100,,Nordace,ND1001-8-EN,yes,new,no,,Pink,,,,,ND1001-GROUP,,,,,no,,,English,en,,,single,,,,,https://lp.nordace.com/dpalink/nordace-siena-smart-backpack_pink?utm_source=Facebook_DPA&utm_campaign={{campaign.name}}_{{adset.name}}&utm_medium={{adset.id}}&utm_content={{ad.id}}_{{ad.name}}&cmpid=69844dedca420a8b8b43f68e&sub1={{ad.id}}&sub2={{adset.id}}&sub3={{campaign.id}}&sub4={{ad.name}}&sub5={{adset.name}}&sub6={{campaign.name}}&sub7={{site_source_name}}&sub9=Meta&ref_id={{fbclid}},
